file_path,size,entropy,extension,label
dataset/benign\benign_readme.txt,361,3.807811169429424,.txt,0
dataset/benign\file0.txt,520,0.3115210559582486,.txt,0
dataset/benign\file1.txt,891,0.19682194548617576,.txt,0
dataset/benign\file10.txt,673,0.2502370036240023,.txt,0
dataset/benign\file11.txt,123,1.0183735038105728,.txt,0
dataset/benign\file12.txt,926,0.19041283343651044,.txt,0
dataset/benign\file13.txt,477,0.33508822657419174,.txt,0
dataset/benign\file14.txt,938,0.1883166170415524,.txt,0
dataset/benign\file15.txt,353,0.43143250625137747,.txt,0
dataset/benign\file16.txt,919,0.19165880626109058,.txt,0
dataset/benign\file17.txt,119,1.0452617978842504,.txt,0
dataset/benign\file18.txt,621,0.26797242511794583,.txt,0
dataset/benign\file19.txt,494,0.3253266293195847,.txt,0
dataset/benign\file2.txt,482,0.33215243520883087,.txt,0
dataset/benign\file20.txt,907,0.19383577138389899,.txt,0
dataset/benign\file21.txt,241,0.5919047821003756,.txt,0
dataset/benign\file22.txt,743,0.22996771306989916,.txt,0
dataset/benign\file23.txt,898,0.19550348656385144,.txt,0
dataset/benign\file24.txt,546,0.29891405573185503,.txt,0
dataset/benign\file25.txt,555,0.2948006710396472,.txt,0
dataset/benign\file26.txt,462,0.3442400500540442,.txt,0
dataset/benign\file27.txt,876,0.19971220016936167,.txt,0
dataset/benign\file28.txt,747,0.22891461718747796,.txt,0
dataset/benign\file29.txt,370,0.4148034097891402,.txt,0
dataset/benign\file3.txt,304,0.48859178002171266,.txt,0
dataset/benign\file4.txt,370,0.4148034097891402,.txt,0
dataset/benign\file5.txt,736,0.23183578953502637,.txt,0
dataset/benign\file6.txt,709,0.23935619166978345,.txt,0
dataset/benign\file7.txt,899,0.19531667282695012,.txt,0
dataset/benign\file8.txt,772,0.22255928489149993,.txt,0
dataset/benign\file9.txt,814,0.2126894087690321,.txt,0
dataset/benign\harmless_tool.exe,1000,2.8464393446710154,.exe,0
dataset/benign\lib_low_entropy.bin,16384,2.0,.bin,0
dataset/benign\notes.txt,916,3.8527994559600836,.txt,0
dataset/benign\sample_image.png,12288,7.808024451645269,.png,0
dataset/malicious\3z1tg519.exe,30720,7.8163514803225045,.exe,1
dataset/malicious\d4xurn6f.exe,30720,7.788200627025811,.exe,1
dataset/malicious\malware0.exe,1055,0.16689632530476972,.exe,1
dataset/malicious\malware1.exe,1470,0.16689632530476972,.exe,1
dataset/malicious\malware10.exe,1264,0.16689632530476972,.exe,1
dataset/malicious\malware11.exe,687,0.23522397497483497,.exe,1
dataset/malicious\malware12.exe,1950,0.16689632530476972,.exe,1
dataset/malicious\malware13.exe,1154,0.16689632530476972,.exe,1
dataset/malicious\malware14.exe,1462,0.16689632530476972,.exe,1
dataset/malicious\malware15.exe,701,0.23119827762573877,.exe,1
dataset/malicious\malware16.exe,1105,0.16689632530476972,.exe,1
dataset/malicious\malware17.exe,1244,0.16689632530476972,.exe,1
dataset/malicious\malware18.exe,1074,0.16689632530476972,.exe,1
dataset/malicious\malware19.exe,1649,0.16689632530476972,.exe,1
dataset/malicious\malware2.exe,629,0.25363700077046725,.exe,1
dataset/malicious\malware20.exe,1982,0.16689632530476972,.exe,1
dataset/malicious\malware21.exe,1151,0.16689632530476972,.exe,1
dataset/malicious\malware22.exe,1558,0.16689632530476972,.exe,1
dataset/malicious\malware23.exe,1046,0.16689632530476972,.exe,1
dataset/malicious\malware24.exe,958,0.17677597816285895,.exe,1
dataset/malicious\malware25.exe,1128,0.16689632530476972,.exe,1
dataset/malicious\malware26.exe,1469,0.16689632530476972,.exe,1
dataset/malicious\malware27.exe,1268,0.16689632530476972,.exe,1
dataset/malicious\malware28.exe,1144,0.16689632530476972,.exe,1
dataset/malicious\malware29.exe,1178,0.16689632530476972,.exe,1
dataset/malicious\malware3.exe,1321,0.16689632530476972,.exe,1
dataset/malicious\malware4.exe,1814,0.16689632530476972,.exe,1
dataset/malicious\malware5.exe,779,0.21120937000679532,.exe,1
dataset/malicious\malware6.exe,926,0.18203070623182022,.exe,1
dataset/malicious\malware7.exe,1005,0.16961797816503668,.exe,1
dataset/malicious\malware8.exe,1053,0.16689632530476972,.exe,1
dataset/malicious\malware9.exe,1945,0.16689632530476972,.exe,1
dataset/malicious\mal_script_1.js,2048,7.799177896359487,.js,1
dataset/malicious\mal_script_2.js,2048,7.805971983295163,.js,1
dataset/malicious\mal_script_3.js,2048,7.82377149945317,.js,1
dataset/malicious\rt78a0en.exe,30720,7.81019446967529,.exe,1
dataset/malicious\suspicious_bat554.bat,16384,7.826725533010113,.bat,1
dataset/malicious\suspicious_dll635.dll,16384,7.8230851376379364,.dll,1
dataset/malicious\suspicious_js231.js,16384,7.772760881528681,.js,1
dataset/malicious\suspicious_scr800.scr,16384,7.798947650741735,.scr,1
dataset/malicious\ulvclgnf.exe,30720,7.790230168137892,.exe,1
dataset/malicious\wzg4pyle.exe,30720,7.777297737957455,.exe,1
dataset/malicious\yqybypq6.exe,30720,7.825375241344198,.exe,1
